# q	x_q
0.000000e+00	0.000000e+00
1.001001e-03	0.000000e+00
2.002002e-03	0.000000e+00
3.003003e-03	0.000000e+00
4.004004e-03	0.000000e+00
5.005005e-03	0.000000e+00
6.006006e-03	0.000000e+00
7.007007e-03	0.000000e+00
8.008008e-03	0.000000e+00
9.009009e-03	0.000000e+00
1.001001e-02	0.000000e+00
1.101101e-02	0.000000e+00
1.201201e-02	0.000000e+00
1.301301e-02	0.000000e+00
1.401401e-02	0.000000e+00
1.501502e-02	0.000000e+00
1.601602e-02	0.000000e+00
1.701702e-02	0.000000e+00
1.801802e-02	0.000000e+00
1.901902e-02	0.000000e+00
2.002002e-02	0.000000e+00
2.102102e-02	0.000000e+00
2.202202e-02	0.000000e+00
2.302302e-02	0.000000e+00
2.402402e-02	0.000000e+00
2.502503e-02	0.000000e+00
2.602603e-02	0.000000e+00
2.702703e-02	0.000000e+00
2.802803e-02	0.000000e+00
2.902903e-02	0.000000e+00
3.003003e-02	0.000000e+00
3.103103e-02	0.000000e+00
3.203203e-02	0.000000e+00
3.303303e-02	0.000000e+00
3.403403e-02	0.000000e+00
3.503504e-02	0.000000e+00
3.603604e-02	0.000000e+00
3.703704e-02	0.000000e+00
3.803804e-02	0.000000e+00
3.903904e-02	0.000000e+00
4.004004e-02	0.000000e+00
4.104104e-02	0.000000e+00
4.204204e-02	0.000000e+00
4.304304e-02	0.000000e+00
4.404404e-02	0.000000e+00
4.504505e-02	0.000000e+00
4.604605e-02	0.000000e+00
4.704705e-02	0.000000e+00
4.804805e-02	0.000000e+00
4.904905e-02	0.000000e+00
5.005005e-02	0.000000e+00
5.105105e-02	0.000000e+00
5.205205e-02	0.000000e+00
5.305305e-02	0.000000e+00
5.405405e-02	0.000000e+00
5.505506e-02	0.000000e+00
5.605606e-02	0.000000e+00
5.705706e-02	0.000000e+00
5.805806e-02	0.000000e+00
5.905906e-02	0.000000e+00
6.006006e-02	0.000000e+00
6.106106e-02	0.000000e+00
6.206206e-02	0.000000e+00
6.306306e-02	0.000000e+00
6.406406e-02	0.000000e+00
6.506507e-02	0.000000e+00
6.606607e-02	0.000000e+00
6.706707e-02	0.000000e+00
6.806807e-02	0.000000e+00
6.906907e-02	0.000000e+00
7.007007e-02	0.000000e+00
7.107107e-02	0.000000e+00
7.207207e-02	0.000000e+00
7.307307e-02	0.000000e+00
7.407407e-02	0.000000e+00
7.507508e-02	0.000000e+00
7.607608e-02	0.000000e+00
7.707708e-02	1.665705e-05
7.807808e-02	4.389959e-05
7.907908e-02	7.114214e-05
8.008008e-02	9.838468e-05
8.108108e-02	1.256272e-04
8.208208e-02	1.528698e-04
8.308308e-02	1.801123e-04
8.408408e-02	2.073549e-04
8.508509e-02	2.345974e-04
8.608609e-02	2.618399e-04
8.708709e-02	2.890825e-04
8.808809e-02	3.163250e-04
8.908909e-02	3.435676e-04
9.009009e-02	3.708101e-04
9.109109e-02	3.980527e-04
9.209209e-02	4.252952e-04
9.309309e-02	4.525377e-04
9.409409e-02	4.797803e-04
9.509510e-02	5.070228e-04
